loss,step
tensor(0.3019, grad_fn=<MseLossBackward0>),0
tensor(0.2362, grad_fn=<MseLossBackward0>),10
tensor(0.2126, grad_fn=<MseLossBackward0>),20
tensor(0.2072, grad_fn=<MseLossBackward0>),30
tensor(0.1416, grad_fn=<MseLossBackward0>),40
tensor(0.1532, grad_fn=<MseLossBackward0>),50
tensor(0.1567, grad_fn=<MseLossBackward0>),60
tensor(0.0881, grad_fn=<MseLossBackward0>),70
tensor(0.1273, grad_fn=<MseLossBackward0>),80
tensor(0.0659, grad_fn=<MseLossBackward0>),90
tensor(0.0445, grad_fn=<MseLossBackward0>),100
tensor(0.0570, grad_fn=<MseLossBackward0>),110
tensor(0.0503, grad_fn=<MseLossBackward0>),120
tensor(0.0844, grad_fn=<MseLossBackward0>),130
tensor(0.0542, grad_fn=<MseLossBackward0>),140
tensor(0.0654, grad_fn=<MseLossBackward0>),150
tensor(0.0442, grad_fn=<MseLossBackward0>),160
tensor(0.0339, grad_fn=<MseLossBackward0>),170
tensor(0.0719, grad_fn=<MseLossBackward0>),180
tensor(0.0230, grad_fn=<MseLossBackward0>),190
tensor(0.0646, grad_fn=<MseLossBackward0>),200
tensor(0.0547, grad_fn=<MseLossBackward0>),210
tensor(0.0246, grad_fn=<MseLossBackward0>),220
tensor(0.0197, grad_fn=<MseLossBackward0>),230
tensor(0.0289, grad_fn=<MseLossBackward0>),240
tensor(0.0125, grad_fn=<MseLossBackward0>),250
tensor(0.0299, grad_fn=<MseLossBackward0>),260
tensor(0.0546, grad_fn=<MseLossBackward0>),270
tensor(0.0217, grad_fn=<MseLossBackward0>),280
tensor(0.0660, grad_fn=<MseLossBackward0>),290
tensor(0.0255, grad_fn=<MseLossBackward0>),300
tensor(0.0246, grad_fn=<MseLossBackward0>),310
tensor(0.0139, grad_fn=<MseLossBackward0>),320
tensor(0.0123, grad_fn=<MseLossBackward0>),330
tensor(0.0226, grad_fn=<MseLossBackward0>),340
tensor(0.0060, grad_fn=<MseLossBackward0>),350
tensor(0.0013, grad_fn=<MseLossBackward0>),360
tensor(0.0138, grad_fn=<MseLossBackward0>),370
tensor(0.0275, grad_fn=<MseLossBackward0>),380
tensor(0.0320, grad_fn=<MseLossBackward0>),390
tensor(0.0274, grad_fn=<MseLossBackward0>),400
tensor(0.0310, grad_fn=<MseLossBackward0>),410
tensor(0.0448, grad_fn=<MseLossBackward0>),420
tensor(0.0088, grad_fn=<MseLossBackward0>),430
tensor(0.0059, grad_fn=<MseLossBackward0>),440
tensor(0.0145, grad_fn=<MseLossBackward0>),450
tensor(0.0073, grad_fn=<MseLossBackward0>),460
tensor(0.0145, grad_fn=<MseLossBackward0>),470
tensor(0.0109, grad_fn=<MseLossBackward0>),480
tensor(0.0066, grad_fn=<MseLossBackward0>),490
tensor(0.0021, grad_fn=<MseLossBackward0>),500
tensor(0.0070, grad_fn=<MseLossBackward0>),510
tensor(0.0279, grad_fn=<MseLossBackward0>),520
tensor(0.0313, grad_fn=<MseLossBackward0>),530
tensor(0.0309, grad_fn=<MseLossBackward0>),540
tensor(0.0061, grad_fn=<MseLossBackward0>),550
tensor(0.0420, grad_fn=<MseLossBackward0>),560
tensor(0.0049, grad_fn=<MseLossBackward0>),570
tensor(0.0359, grad_fn=<MseLossBackward0>),580
tensor(0.0140, grad_fn=<MseLossBackward0>),590
tensor(0.0223, grad_fn=<MseLossBackward0>),600
tensor(0.0059, grad_fn=<MseLossBackward0>),610
tensor(0.0034, grad_fn=<MseLossBackward0>),620
tensor(0.0054, grad_fn=<MseLossBackward0>),630
tensor(0.0122, grad_fn=<MseLossBackward0>),640
tensor(0.0190, grad_fn=<MseLossBackward0>),650
