Index,Labels,Loss,Isolation,Dist0nn,Dist1nn,Dist2nn,Dist3nn,Dist4nn,Dist5nn,Dist6nn,Dist7nn,Dist8nn,Dist9nn,Dist10nn,Dist11nn,Dist12nn,Dist13nn,Dist14nn,Dist15nn,Dist16nn,Dist17nn,Dist18nn,Dist19nn,Dist20nn,Dist21nn,Dist22nn,Dist23nn,Dist24nn,Dist25nn,Dist26nn,Dist27nn,Dist28nn,Dist29nn,Dist30nn,Dist31nn,Dist32nn,Dist33nn,Dist34nn,Dist35nn,Dist36nn,Dist37nn,Dist38nn,Dist39nn,Dist40nn,Dist41nn,Dist42nn,Dist43nn,Dist44nn,Dist45nn,Dist46nn,Dist47nn,Dist48nn,Dist49nn,LOF0nn,LOF1nn,LOF2nn,LOF3nn,LOF4nn,LOF5nn,LOF6nn,LOF7nn,LOF8nn,LOF9nn,LOF10nn,LOF11nn,LOF12nn,LOF13nn,LOF14nn,LOF15nn,LOF16nn,LOF17nn,LOF18nn,LOF19nn,LOF20nn,LOF21nn,LOF22nn,LOF23nn,LOF24nn,LOF25nn,LOF26nn,LOF27nn,LOF28nn,LOF29nn,LOF30nn,LOF31nn,LOF32nn,LOF33nn,LOF34nn,LOF35nn,LOF36nn,LOF37nn,LOF38nn,LOF39nn,LOF40nn,LOF41nn,LOF42nn,LOF43nn,LOF44nn,LOF45nn,LOF46nn,LOF47nn,LOF48nn,LOF49nn
0,1,1,1,0.978013814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.426544932,0.61498107,0.902677821,0.706464678,0.693140583,0.844003113,1,1,1,1,1,1,1,0.977688747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.587695125,0.633916362,0.32551646,0.392456955,0.401123311,0.421357115,0.441801304,0.452684861,0.46143655,0.467242871,0.474130235,0.483049318,0.488800199,0.49239435,0.494966116,0.497444657,0.49944324,0.500287797,0.500676217,0.500624039,0.500681013,0.50106442,0.501532853,0.502050972,0.502531754,0.50299872,0.503369629,0.504136752,0.504818504,0.505468852,0.505987827,0.506513344,0.507008238,0.507514339,0.508013871,0.508645301,0.509186206,0.509595722,0.509986166,0.510483787,0.510907673,0.511370356,0.511892365,0.512364563,0.512863982,0.513359471,0.513849475,0.514296402,0.514757152,0.515175799,0.515574567,0.515930658,0,0.097632891,0.071680848,0.19198759,0.441900216,0.490175802,0.658436117,0.713701878,0.781666001,0.819732636,0.874812571,0.945588661,0.946125328,1,0.936688889,0.903345866,0.853625916,0.840666859,0.801198773,0.790134554,0.74457444,0.718257108,0.708907438,0.684463147,0.696679775,0.684937327,0.679506006,0.67833671,0.667760176,0.675753765,0.664830395,0.663391069,0.655436866,0.652061741,0.651762263,0.649967908,0.644268433,0.645398746,0.64203036,0.639243328,0.637392211,0.642254241,0.624102442,0.619039716,0.602941383,0.600316701,0.590372954,0.595652138,0.593391039,0.595960541
2,1,0.645837181,0.736324835,0.511603785,0.502445042,0.466323763,0.515413288,0.540493469,0.553356562,0.563687703,0.570231625,0.579815555,0.587466412,0.592784647,0.596624448,0.599226647,0.601170047,0.602960451,0.603910524,0.60432641,0.604102003,0.603983158,0.604010475,0.604296319,0.604679438,0.605015047,0.605219465,0.605147705,0.605286345,0.605392038,0.605463897,0.605534844,0.605696107,0.605942701,0.606400282,0.606895448,0.607397707,0.607826243,0.608286608,0.608792994,0.609199975,0.609558612,0.609921667,0.610251137,0.610601819,0.610949319,0.611314411,0.611674354,0.612058701,0.612491037,0.612882451,0.613311697,0.613687893,0,0.099893135,0.071680848,0.123463836,0.338094371,0.463941639,0.509404514,0.50636571,0.647765492,0.747317818,0.828445078,0.82505394,0.882026359,0.95416167,0.903906143,0.866527583,0.845965306,0.832400661,0.794352346,0.794416706,0.779630494,0.7620268,0.74366222,0.72504609,0.734308078,0.703858285,0.683153398,0.667245949,0.661519755,0.685734907,0.682041574,0.655577997,0.65222487,0.660169177,0.660096787,0.662030914,0.659847074,0.655039588,0.647646093,0.656179905,0.64274451,0.649451104,0.644455683,0.639798941,0.62777597,0.627666875,0.622534844,0.63228779,0.63212989,0.637079834
3,1,0.845326453,0.840425953,1,0.949476618,0.856414303,0.845616489,0.837585637,0.829501787,0.825964324,0.821411912,0.817124972,0.814803182,0.810884989,0.809766663,0.808337177,0.806920171,0.805662913,0.803566243,0.802236464,0.800309762,0.798741325,0.797419796,0.797147922,0.796984965,0.796847859,0.796684328,0.796456375,0.796283411,0.796319624,0.796778358,0.797129179,0.797530751,0.798078136,0.79854215,0.798915284,0.799255157,0.799577698,0.799802564,0.800061805,0.800382976,0.800706794,0.800975219,0.801301816,0.801558771,0.801788418,0.802022147,0.802457577,0.802867099,0.803249304,0.803618734,0.803974719,0.804306088,0.083706209,0.671196106,0.701142137,0.735439184,0.707243923,0.64546475,0.609238822,0.662661006,0.662725833,0.681116219,0.708616694,0.81089598,0.789387437,0.831614212,0.788836709,0.738038034,0.681686726,0.670379632,0.647365053,0.672680837,0.663104677,0.641501844,0.642931459,0.658669172,0.687082243,0.678506441,0.69563741,0.69020134,0.682907272,0.714072256,0.701373247,0.711734941,0.71756445,0.730188305,0.733822627,0.730460172,0.728125662,0.703508266,0.700222721,0.707826757,0.712357713,0.724696185,0.725086085,0.725873056,0.724170932,0.722644523,0.725316492,0.740041369,0.743958851,0.753004044
4,1,0.653522176,0.714929534,0.511603785,0.48001746,0.456187209,0.498850312,0.521327048,0.531322196,0.537584613,0.541916013,0.545746336,0.549806226,0.554124942,0.556491232,0.557770039,0.558950216,0.559704707,0.559553414,0.559409885,0.559389992,0.55921543,0.55903185,0.558869752,0.55872159,0.558773402,0.558958138,0.558998831,0.559125024,0.559304407,0.560054465,0.560675858,0.561506054,0.562252295,0.563021637,0.563856381,0.564794672,0.56565609,0.566547004,0.567487864,0.568313603,0.569067651,0.569777814,0.570571237,0.571271531,0.571978758,0.572630158,0.573254463,0.573904409,0.574513429,0.575045638,0.575588681,0.576076093,0,0.099893135,0.09514231,0.202056185,0.360806831,0.427122551,0.502223872,0.580469204,0.695187489,0.728262323,0.797166977,0.820238941,0.866755552,0.94688531,0.893833588,0.867031832,0.820549494,0.825358167,0.760525721,0.761869491,0.714230385,0.695640825,0.69442302,0.687145351,0.692961964,0.680479891,0.667338417,0.647902614,0.642760597,0.666404577,0.655559772,0.651995264,0.650586773,0.665247852,0.67057768,0.680078247,0.666468393,0.667052182,0.663393534,0.671742443,0.669420367,0.672324296,0.661158367,0.654518599,0.649762302,0.649201558,0.635917203,0.646974559,0.646764719,0.648676143
5,1,0.472675789,0.360080273,0.233321311,0.215546226,0.23292683,0.241961037,0.249355372,0.2526602,0.254535775,0.257902182,0.262218115,0.265526257,0.267985006,0.269990737,0.271145733,0.271772423,0.272679153,0.273119038,0.273274236,0.273105967,0.273037468,0.272926297,0.272911969,0.272825954,0.27278477,0.273029165,0.2730654,0.273140205,0.273199553,0.273359766,0.273493117,0.273669596,0.273820289,0.27397842,0.274109801,0.274237648,0.274312093,0.274401153,0.274482856,0.274603059,0.274729991,0.27488818,0.275050795,0.275141517,0.275222642,0.275280847,0.275386,0.275646377,0.275899033,0.276130055,0.276325962,0.276493485,0.064897774,0.173093274,0.282569691,0.225541439,0.331332717,0.310940733,0.313028774,0.3073871,0.335303274,0.332435236,0.307692777,0.33622625,0.32829329,0.331410648,0.317286514,0.322556004,0.315736245,0.325446122,0.317199174,0.31801486,0.311047441,0.283772502,0.28523328,0.284951435,0.275746899,0.271076651,0.271439196,0.259039975,0.259908364,0.26750126,0.264696871,0.258408788,0.258058171,0.263968002,0.266369004,0.261662296,0.2542779,0.25478103,0.25243509,0.253549686,0.248461355,0.248917732,0.249731502,0.241104383,0.240902596,0.241555908,0.236979072,0.237192215,0.237268359,0.239627485
6,1,0.531482626,0.512438119,0.32551646,0.41278103,0.398609292,0.397695116,0.395748058,0.391583489,0.388247313,0.386538346,0.386075881,0.385726643,0.384697211,0.383304633,0.381716893,0.380459279,0.379788416,0.378483454,0.376952615,0.375302673,0.374426841,0.373563288,0.372964535,0.372485434,0.372264035,0.371972035,0.371553492,0.371275641,0.371123819,0.371210498,0.371278379,0.371342235,0.371400834,0.371530363,0.371596871,0.371762106,0.371892403,0.371952878,0.372071425,0.372240233,0.372380539,0.37249433,0.372693836,0.372868582,0.373078598,0.373366858,0.373691236,0.374007303,0.374412107,0.374774372,0.375187821,0.375638229,0,0.468629295,0.368470281,0.661438534,0.855852828,0.903783393,0.795036565,0.753947257,0.761594071,0.694283039,0.717182085,0.736897586,0.676761522,0.704531735,0.651675993,0.615961692,0.589325945,0.586979864,0.559178274,0.552914279,0.515159647,0.485929318,0.469967672,0.462180372,0.466757754,0.450608443,0.446517467,0.445832717,0.426023276,0.439807195,0.420329233,0.41562013,0.414805865,0.418308639,0.415717766,0.416557306,0.412350178,0.408403159,0.406956719,0.413364925,0.40637324,0.407711327,0.402026532,0.400667444,0.399661333,0.397940317,0.389297851,0.389924877,0.390590807,0.392570697
7,1,0.545109409,0.41314009,0.385166689,0.366563558,0.326076134,0.313533179,0.301382073,0.291711617,0.284868941,0.278733898,0.275047309,0.272090747,0.268890789,0.265961572,0.263292407,0.26170809,0.260498206,0.259258123,0.257941472,0.256844553,0.255826825,0.255116358,0.25459232,0.254053762,0.253552158,0.253015917,0.252496068,0.25248968,0.252536787,0.252643621,0.252665143,0.252690797,0.252706592,0.252728309,0.252891212,0.253028706,0.253155692,0.253283631,0.253424325,0.253524248,0.253585072,0.253686066,0.253837612,0.25393351,0.254243138,0.254539629,0.254811733,0.255105214,0.255394588,0.255667217,0.255912683,0.256112534,0.282098355,0.335777545,0.25064309,0.223609395,0.200319456,0.28867716,0.356129865,0.288500434,0.263111735,0.247660099,0.258247792,0.28029721,0.260680048,0.269936062,0.264294184,0.256507176,0.252970271,0.260664067,0.243656804,0.246021788,0.235896417,0.231029518,0.232796497,0.235998706,0.233541033,0.227271017,0.228956519,0.227905714,0.22675208,0.232733089,0.229277939,0.227608829,0.226493933,0.226338755,0.225380417,0.228625336,0.225064954,0.224220163,0.221440446,0.22344827,0.221544896,0.223536121,0.221371144,0.214260468,0.214459248,0.216606521,0.216014043,0.216430747,0.216861412,0.21817929
8,1,0.534800596,0.439402464,0.262619794,0.294981917,0.297353209,0.306166148,0.317404622,0.323127815,0.329435806,0.333562581,0.338310308,0.341571974,0.343294767,0.344150317,0.344623406,0.34469964,0.344607168,0.344357237,0.343929786,0.343151612,0.342670864,0.342261595,0.341880822,0.341631909,0.341514442,0.341606921,0.341479319,0.341526107,0.34155396,0.341884794,0.342213589,0.342533567,0.342845423,0.343130221,0.343431037,0.343830063,0.344163033,0.344474254,0.344760449,0.344981287,0.345178993,0.345363372,0.345573422,0.345739017,0.345919246,0.346095206,0.346302504,0.346549967,0.3467918,0.347006462,0.347245749,0.347658662,0.046771861,0.209897637,0.17593584,0.240317261,0.359111616,0.427071062,0.445896682,0.405066028,0.388849365,0.421605296,0.402374406,0.402684098,0.415093755,0.430130965,0.410363709,0.404893492,0.398372212,0.408182618,0.397030036,0.404813834,0.398162395,0.388140009,0.384235807,0.380736325,0.386433397,0.380364505,0.366488051,0.359966384,0.354151952,0.365463204,0.363222943,0.348446977,0.347150156,0.345974266,0.342652495,0.343140869,0.341755684,0.333697765,0.333209396,0.33309625,0.333258177,0.33500934,0.335208004,0.335881148,0.335848139,0.335858003,0.326574363,0.331925884,0.329077001,0.328497909
9,1,0.781268505,0.768529033,0.859584174,0.827998793,0.751250063,0.721727505,0.717182501,0.712782776,0.710027138,0.705784975,0.702383106,0.700105964,0.696399485,0.692612003,0.689500788,0.688034075,0.686518416,0.684383286,0.682901321,0.680966012,0.67903573,0.677159916,0.676583916,0.676915527,0.677547232,0.678308524,0.678753147,0.679371654,0.679912559,0.680399444,0.680821163,0.68132392,0.681779614,0.682200716,0.682505268,0.682801045,0.683087923,0.683260105,0.683416997,0.683522312,0.683633254,0.683710254,0.683821536,0.683849592,0.683905764,0.684002802,0.684211013,0.68440659,0.68459452,0.684713909,0.6848443,0.684909054,0.883625966,0.983808918,0.782639679,0.651314172,0.784488351,0.846231432,0.863136179,0.848965603,0.785282831,0.724963552,0.710801306,0.784739741,0.778920349,0.753059893,0.699298511,0.653479695,0.662665226,0.681430064,0.626288163,0.620951342,0.633928574,0.632739999,0.647425392,0.654736092,0.648111448,0.619299658,0.631171963,0.635846193,0.605301677,0.631443456,0.637381706,0.643208352,0.638079405,0.6501022,0.65044752,0.653713351,0.654932637,0.649063738,0.64518822,0.65757166,0.658276687,0.647806922,0.647343708,0.638482649,0.637595441,0.641412472,0.634769326,0.637138729,0.639691984,0.6430556
