Index,Labels,Loss,Isolation,Dist0nn,Dist1nn,Dist2nn,Dist3nn,Dist4nn,Dist5nn,Dist6nn,Dist7nn,Dist8nn,Dist9nn,Dist10nn,Dist11nn,Dist12nn,Dist13nn,Dist14nn,Dist15nn,Dist16nn,Dist17nn,Dist18nn,Dist19nn,Dist20nn,Dist21nn,Dist22nn,Dist23nn,Dist24nn,Dist25nn,Dist26nn,Dist27nn,Dist28nn,Dist29nn,Dist30nn,Dist31nn,Dist32nn,Dist33nn,Dist34nn,Dist35nn,Dist36nn,Dist37nn,Dist38nn,Dist39nn,Dist40nn,Dist41nn,Dist42nn,Dist43nn,Dist44nn,Dist45nn,Dist46nn,Dist47nn,Dist48nn,Dist49nn,LOF0nn,LOF1nn,LOF2nn,LOF3nn,LOF4nn,LOF5nn,LOF6nn,LOF7nn,LOF8nn,LOF9nn,LOF10nn,LOF11nn,LOF12nn,LOF13nn,LOF14nn,LOF15nn,LOF16nn,LOF17nn,LOF18nn,LOF19nn,LOF20nn,LOF21nn,LOF22nn,LOF23nn,LOF24nn,LOF25nn,LOF26nn,LOF27nn,LOF28nn,LOF29nn,LOF30nn,LOF31nn,LOF32nn,LOF33nn,LOF34nn,LOF35nn,LOF36nn,LOF37nn,LOF38nn,LOF39nn,LOF40nn,LOF41nn,LOF42nn,LOF43nn,LOF44nn,LOF45nn,LOF46nn,LOF47nn,LOF48nn,LOF49nn,Dist_mean,LOF_mean
0,0,0.495566552,0.424707481,1.0527705,1.099677763,1.203437183,1.20715061,1.450947445,1.600098133,1.605612164,1.614308128,1.634807899,1.641555052,1.654185585,1.658342047,1.679934621,1.682276756,1.709946783,1.712725447,1.726452231,1.727113701,1.771435228,1.786806115,1.789791428,1.792008463,1.803119383,1.805862733,1.828491428,1.83044003,1.848073736,1.849275798,1.867911578,1.872688318,1.900842755,1.917228999,1.922530841,1.925230406,1.92547966,1.951182244,1.958609798,1.976807258,1.977714971,1.985552956,1.998102918,2.003819272,2.004199168,2.01355131,2.023373084,2.029144506,2.036305474,2.036595741,2.036793836,2.045994719,1.177804145,1.055669299,0.974957842,0.991223869,0.970680226,1.075514774,1.091099623,1.083218253,1.06990326,1.114007427,1.1093178,1.091807113,1.081272221,1.113551667,1.127849157,1.11847241,1.134220269,1.126449112,1.139495471,1.13169993,1.142734936,1.130766566,1.127378195,1.139351346,1.146436734,1.152028399,1.157054071,1.163620534,1.154131501,1.149542138,1.154594191,1.150288471,1.155189343,1.161444551,1.158960861,1.152640212,1.155347573,1.149777822,1.143701429,1.139049358,1.13323407,1.131120353,1.131169884,1.134877108,1.13560719,1.139999085,1.135866268,1.137500373,1.139611062,1.141884002,1.783526124,1.12246243
1,0,0.039212924,0.07871502,0.357167548,0.375369139,0.4,0.452155332,0.530916393,0.650511133,0.660789312,0.707744297,0.734701475,0.748439209,0.748439209,0.777327506,0.785759709,0.838150852,0.85403906,0.875426686,0.889534913,0.908485792,0.955460629,0.971521938,1.036825206,1.040746424,1.053553013,1.05908151,1.060361058,1.078253396,1.082042664,1.109472715,1.111887139,1.114970679,1.11624962,1.131573182,1.131906743,1.131949713,1.140570905,1.147375393,1.177762512,1.182816805,1.195765383,1.198460679,1.207881991,1.208677786,1.229174379,1.232281169,1.237700806,1.239534284,1.240505026,1.242688513,1.266832392,1.267870141,1,1.05407895,1.061478727,1.002610063,1.026923056,0.985952967,1.007767849,1.020561337,1.027641572,1.003861556,1.000584741,0.991542757,0.98686663,0.977987895,0.964695915,0.96494924,0.964098552,0.959144322,0.958786721,0.965387831,0.965876762,0.97199537,0.969977304,0.975129573,0.973701404,0.973330186,0.973349553,0.974037112,0.976139583,0.975297875,0.974417295,0.975802399,0.974734596,0.976772266,0.978040819,0.979744291,0.977763901,0.978213784,0.976261179,0.975937598,0.976212853,0.97745559,0.979782152,0.9809772,0.983152733,0.982899998,0.982744138,0.982644683,0.981846945,0.981361425,0.977934227,0.984610425
2,0,0.195239887,0.042535728,0.919166503,0.966634604,1.001522095,1.004437307,1.036279971,1.069586975,1.082099192,1.096804126,1.115907603,1.1340094,1.173596969,1.178825919,1.182436591,1.18571786,1.190472626,1.196417968,1.205367498,1.208033892,1.220882581,1.237081763,1.237081763,1.250491864,1.252005099,1.254950772,1.314098213,1.323965867,1.326619655,1.334280132,1.341120853,1.341578488,1.352981085,1.361599769,1.369358495,1.388844774,1.393584246,1.39534703,1.395539073,1.398831726,1.406145075,1.414503621,1.417559318,1.423467409,1.428858572,1.429166551,1.435146268,1.435594845,1.436441859,1.440380044,1.441222974,1.466478032,1.940815493,1.717995078,1.193921835,1.240827502,1.193272516,1.12584133,1.111180144,1.062447108,1.028122281,1.022573971,1.017137463,1.026983656,1.025140571,1.021887651,1.018440983,1.01497791,1.010699146,1.011086141,1.014031209,1.010910347,1.008641901,1.006838029,1.00954289,1.008039318,1.005725796,1.006828097,1.010509876,1.009486333,1.008217437,1.007225543,1.005476289,1.005956238,1.007105856,1.009120789,1.007382264,1.010081111,1.008797774,1.010983142,1.011046863,1.01161913,1.013483235,1.013335145,1.013789446,1.015037501,1.014783275,1.014306621,1.014443252,1.014111197,1.014755469,1.012874777,1.272250498,1.062356739
3,0,0.099523072,0.076980866,0.383135553,0.515150869,0.643008179,0.68666312,0.691699638,0.814740032,0.843645435,0.895383593,0.898648239,0.908905499,0.966634604,1.095455912,1.120465564,1.123601726,1.131893496,1.142860022,1.158046413,1.172176038,1.188959814,1.189233861,1.196792479,1.206002391,1.211449756,1.211449756,1.223211343,1.227381337,1.241447042,1.251102491,1.258002373,1.266094367,1.280210289,1.281128346,1.292161698,1.303550543,1.305065699,1.313532124,1.323097461,1.323657196,1.333921492,1.336722145,1.344025487,1.349721009,1.350251637,1.361030638,1.365880194,1.376479432,1.379515784,1.391672819,1.39854214,1.400769419,1,0.994054787,1.030701324,1.019667925,1.009138096,0.9955501,0.967940657,0.970824173,0.995836487,0.994733207,0.998198099,0.991919308,1.018556477,1.014395469,1.011760915,1.011133315,1.01305916,1.015232924,1.013257812,1.0076454,1.004608238,1.003792136,0.999473268,0.996688999,0.996565668,0.995494361,0.993487002,0.992666862,0.992905384,0.989819388,0.989733982,0.991079218,0.991820009,0.991053918,0.99113774,0.992610769,0.99449508,0.994733833,0.993197887,0.993712457,0.99184025,0.990949805,0.990746927,0.991064913,0.992198219,0.992913151,0.992877939,0.99347026,0.992902738,0.991613922,1.15348353,0.997665199
4,0,0.080323562,0.086604246,0.270292159,0.426221494,0.433872982,0.632555282,0.691699638,0.724272483,0.775633022,0.863885376,1.026331812,1.04730007,1.063909806,1.101042857,1.145632317,1.149435134,1.179210928,1.182182101,1.182436591,1.202002082,1.210418099,1.210461552,1.210854213,1.214458375,1.215707949,1.22139328,1.22299779,1.223063714,1.241617677,1.249147635,1.265432266,1.266211854,1.277346314,1.278891795,1.298768509,1.320089836,1.324092466,1.342660142,1.346515588,1.347090255,1.373019264,1.374254364,1.388511356,1.404293537,1.40776532,1.411598859,1.414522435,1.415740241,1.418817431,1.421717933,1.424264033,1.424682304,1,1.009375223,1.05758768,0.981635924,0.966532621,0.98980315,0.996504145,1.005406497,0.991718955,1.026733229,1.03101115,1.035389516,1.025367256,1.020031817,1.033261734,1.026086408,1.017124668,1.014552768,1.011982584,1.011145936,1.007566074,1.009814214,1.005511513,1.00334843,1.002743017,1.003854117,1.006850018,1.008185108,1.006756528,1.006893576,1.008687548,1.00760912,1.00585654,1.006652273,1.006755853,1.00646376,1.005219608,1.005006325,1.005814126,1.006324845,1.004645492,1.004466869,1.003021003,1.003782665,1.004076465,1.002350154,1.000704824,1.000962101,0.999882351,0.999038943,1.16528645,1.008001894
5,0,0.060618133,0.073037145,0.400616808,0.498887652,0.498887652,0.530515237,0.614226239,0.639830224,0.658093018,0.664035023,0.683130051,0.711451166,0.816462764,0.83454032,0.854905958,0.869789131,0.877988723,0.89690827,0.923760431,0.946207505,0.970681319,1.050102876,1.067183773,1.071189803,1.081890079,1.084249084,1.098130621,1.116853585,1.152909899,1.15567992,1.178360953,1.19055021,1.217005928,1.226709912,1.24342027,1.265542968,1.271253809,1.271316636,1.273314645,1.283354635,1.294016596,1.302136966,1.303049194,1.308273526,1.315485925,1.327484314,1.344428546,1.35652476,1.362422695,1.38221495,1.396933591,1.404689237,1.25,1.424123671,1.181307463,1.176211998,1.125742236,1.109727433,1.076638524,1.076198072,1.049316963,1.020797077,1.01802132,1.00931794,1.01401419,1.030279706,1.025674845,1.021537999,1.017766918,1.014750992,1.001601023,0.99456683,0.990601962,0.992251003,0.992670118,0.994350333,0.997658606,0.997029796,0.995232535,0.998708618,0.997041576,0.996606328,0.997622062,0.997972139,0.997222679,0.998876437,0.997122719,0.997940648,0.996741097,0.996674896,0.998269348,0.997311903,0.99811666,0.99843591,0.997583673,0.996268884,0.995233773,0.994297585,0.994890715,0.99390813,0.993139322,0.992023746,1.045751948,1.030387968
6,0,0.253288371,0.127516596,0.761044052,0.855102981,0.865435663,0.865435663,0.944660211,0.964520171,1.036279971,1.089983231,1.155477134,1.184182377,1.214382864,1.227339772,1.24116241,1.255882051,1.284368014,1.2982145,1.302169556,1.312356688,1.365840928,1.367859606,1.36976623,1.39201529,1.396202533,1.408178731,1.42914659,1.437876325,1.447306077,1.455579811,1.45599229,1.456601826,1.477682912,1.47916393,1.479206415,1.492089423,1.501211071,1.505764256,1.524352603,1.543780944,1.557521454,1.569504029,1.579720241,1.58018486,1.585800104,1.589536773,1.591501331,1.595579231,1.604182726,1.610772814,1.621602135,1.625112172,2.119834988,3.704893467,1.585032659,1.247278138,0.974736686,0.989415257,0.998066487,1.02214947,1.013027445,1.022394313,1.027633566,1.031408577,1.031367715,1.03064553,1.031188916,1.034892135,1.038206875,1.038002138,1.037223522,1.040385174,1.038788042,1.040336665,1.039186394,1.039052281,1.043960653,1.04327846,1.045432884,1.045901057,1.04701007,1.047713813,1.049362908,1.049942199,1.048754946,1.046332234,1.047057947,1.044395507,1.043418113,1.04280566,1.041175832,1.037632981,1.037619018,1.03688477,1.035557369,1.034872424,1.034718996,1.033108889,1.032772467,1.033078074,1.035268262,1.035299629,1.359092659,1.124970032
7,0,0.11214179,0.040578168,0.397263513,0.464718968,0.58611635,0.619647133,0.653575163,0.655685565,0.684088313,0.730044993,0.741894406,0.772251178,0.783321262,0.787094737,0.830149237,0.833042521,0.859414978,0.877404067,0.954413285,1.009741721,1.033905731,1.036767566,1.051477556,1.076722541,1.093108863,1.09423769,1.117237808,1.131290676,1.158617804,1.173861479,1.19558761,1.201368303,1.203420259,1.204254105,1.207706763,1.215567046,1.225572345,1.253271501,1.274267442,1.27505261,1.277467817,1.278873297,1.279688729,1.295701618,1.307083483,1.310423607,1.322860681,1.323097461,1.324463833,1.325280524,1.331734673,1.337904156,1.00843923,0.973588419,0.983652879,0.984979665,1.040774961,1.047580924,1.026918504,1.016178431,0.992502321,0.985688033,0.994803136,0.994423597,0.993822485,1.002524149,0.993386518,0.981723719,0.97888829,0.986507608,0.984974272,0.992842079,0.99461383,0.993084263,0.988745689,0.98678251,0.985104592,0.985151737,0.983822249,0.983135492,0.980526217,0.980726136,0.98095623,0.979332298,0.981676236,0.982454315,0.982344637,0.981799381,0.980779918,0.979538592,0.97934052,0.980736072,0.981879142,0.982001017,0.981110448,0.981267815,0.980790033,0.981204147,0.984167099,0.983676976,0.983993623,0.983238439,1.043554859,0.989163577
8,0,0.212871157,0.118019746,0.820679426,0.969697926,1.000294732,1.021134678,1.062188227,1.168246136,1.178855532,1.180679338,1.246835533,1.263188638,1.280550027,1.305304442,1.312468773,1.368320205,1.401245059,1.407692167,1.424386315,1.429637704,1.445544225,1.450695542,1.454374213,1.459317641,1.467157077,1.474739971,1.476521335,1.490396438,1.512078359,1.516148845,1.533868107,1.534040854,1.542784513,1.544539279,1.545044078,1.547279045,1.555323329,1.558540437,1.563711425,1.56895742,1.569763445,1.573572592,1.575717466,1.580292476,1.581723522,1.58298675,1.596886354,1.603875952,1.605975794,1.607714041,1.608706447,1.623909594,2.433403211,2.220330668,1.964998153,1.775149894,1.055533783,1.001697813,1.002169948,1.002273424,1.015776484,1.010968375,1.013344841,1.02334456,1.019135778,1.022940497,1.024335064,1.028335536,1.024384093,1.02691954,1.026632889,1.023321915,1.023339584,1.020696343,1.021023762,1.020896765,1.028499065,1.030683546,1.033841643,1.033998641,1.034434755,1.039269965,1.040936442,1.048111463,1.046377927,1.045100578,1.047652429,1.050656496,1.054956635,1.054983053,1.052440287,1.052055845,1.053641718,1.050760538,1.04700246,1.044832567,1.04608833,1.044465123,1.045365036,1.042632698,1.040587973,1.041538793,1.423871829,1.119037339
9,0,0.074134751,0.109955711,0.133333333,0.285388186,0.397487261,0.521939905,0.541137162,0.741017702,0.791292785,0.841774814,0.936747458,0.973964533,1.011519268,1.029953743,1.03844219,1.062057063,1.069655303,1.082317845,1.122380437,1.125342751,1.156433242,1.173394262,1.175076471,1.200244223,1.204897564,1.205159595,1.217998671,1.22299779,1.227690704,1.228494853,1.230298395,1.255531866,1.258040438,1.260168294,1.266446597,1.269806934,1.274461229,1.27867044,1.286036987,1.286036987,1.290445333,1.290445333,1.304668,1.306946633,1.30910723,1.319908553,1.334559727,1.351373927,1.354438728,1.369171966,1.375106512,1.384834283,1,1.049319089,1.057501397,0.996160278,1.003308634,1.003788789,1.016064137,1.014909008,1.024291097,1.022352455,1.01849447,1.047765423,1.034859763,1.027618852,1.023082576,1.040354807,1.029683557,1.02105189,1.019520847,1.024590897,1.027506827,1.018209932,1.011369713,1.007319675,1.007569713,1.004523342,1.005302827,1.001055586,1.002459351,1.002312179,1.002692897,1.001143078,0.999900085,0.999736566,1.000179898,0.998320588,0.997653366,0.997332187,1.001253491,1.000818351,1.001328741,1.003361254,1.002596248,1.00138164,1.000768414,0.999996846,0.997964502,0.998124365,0.997049055,0.996154672,1.10749287,1.011202067
