loss,step
tensor(0.5547, grad_fn=<MseLossBackward0>),0
tensor(0.1891, grad_fn=<MseLossBackward0>),10
tensor(0.1609, grad_fn=<MseLossBackward0>),20
tensor(0.1088, grad_fn=<MseLossBackward0>),30
tensor(0.0713, grad_fn=<MseLossBackward0>),40
tensor(0.1254, grad_fn=<MseLossBackward0>),50
tensor(0.1005, grad_fn=<MseLossBackward0>),60
tensor(0.1162, grad_fn=<MseLossBackward0>),70
tensor(0.1357, grad_fn=<MseLossBackward0>),80
tensor(0.0980, grad_fn=<MseLossBackward0>),90
tensor(0.1045, grad_fn=<MseLossBackward0>),100
tensor(0.1447, grad_fn=<MseLossBackward0>),110
tensor(0.1272, grad_fn=<MseLossBackward0>),120
tensor(0.0779, grad_fn=<MseLossBackward0>),130
tensor(0.1187, grad_fn=<MseLossBackward0>),140
tensor(0.0946, grad_fn=<MseLossBackward0>),150
tensor(0.1086, grad_fn=<MseLossBackward0>),160
tensor(0.0563, grad_fn=<MseLossBackward0>),170
tensor(0.1066, grad_fn=<MseLossBackward0>),180
tensor(0.0694, grad_fn=<MseLossBackward0>),190
tensor(0.0778, grad_fn=<MseLossBackward0>),200
tensor(0.0872, grad_fn=<MseLossBackward0>),210
tensor(0.0812, grad_fn=<MseLossBackward0>),220
tensor(0.0500, grad_fn=<MseLossBackward0>),230
tensor(0.0952, grad_fn=<MseLossBackward0>),240
tensor(0.0585, grad_fn=<MseLossBackward0>),250
tensor(0.0725, grad_fn=<MseLossBackward0>),260
tensor(0.0434, grad_fn=<MseLossBackward0>),270
tensor(0.0803, grad_fn=<MseLossBackward0>),280
tensor(0.0586, grad_fn=<MseLossBackward0>),290
tensor(0.0583, grad_fn=<MseLossBackward0>),300
tensor(0.0261, grad_fn=<MseLossBackward0>),310
tensor(0.0261, grad_fn=<MseLossBackward0>),320
tensor(0.0484, grad_fn=<MseLossBackward0>),330
tensor(0.0281, grad_fn=<MseLossBackward0>),340
tensor(0.0443, grad_fn=<MseLossBackward0>),350
tensor(0.0231, grad_fn=<MseLossBackward0>),360
tensor(0.0322, grad_fn=<MseLossBackward0>),370
tensor(0.0206, grad_fn=<MseLossBackward0>),380
tensor(0.0432, grad_fn=<MseLossBackward0>),390
tensor(0.0673, grad_fn=<MseLossBackward0>),400
tensor(0.0160, grad_fn=<MseLossBackward0>),410
tensor(0.0164, grad_fn=<MseLossBackward0>),420
tensor(0.0362, grad_fn=<MseLossBackward0>),430
tensor(0.0383, grad_fn=<MseLossBackward0>),440
tensor(0.0573, grad_fn=<MseLossBackward0>),450
tensor(0.0199, grad_fn=<MseLossBackward0>),460
tensor(0.0186, grad_fn=<MseLossBackward0>),470
tensor(0.0078, grad_fn=<MseLossBackward0>),480
tensor(0.0339, grad_fn=<MseLossBackward0>),490
tensor(0.0490, grad_fn=<MseLossBackward0>),500
tensor(0.0250, grad_fn=<MseLossBackward0>),510
tensor(0.0217, grad_fn=<MseLossBackward0>),520
tensor(0.0095, grad_fn=<MseLossBackward0>),530
tensor(0.0166, grad_fn=<MseLossBackward0>),540
tensor(0.0245, grad_fn=<MseLossBackward0>),550
tensor(0.0463, grad_fn=<MseLossBackward0>),560
tensor(0.0169, grad_fn=<MseLossBackward0>),570
tensor(0.0644, grad_fn=<MseLossBackward0>),580
tensor(0.0186, grad_fn=<MseLossBackward0>),590
tensor(0.0560, grad_fn=<MseLossBackward0>),600
tensor(0.0132, grad_fn=<MseLossBackward0>),610
tensor(0.0337, grad_fn=<MseLossBackward0>),620
tensor(0.0261, grad_fn=<MseLossBackward0>),630
tensor(0.0275, grad_fn=<MseLossBackward0>),640
tensor(0.0157, grad_fn=<MseLossBackward0>),650
tensor(0.0243, grad_fn=<MseLossBackward0>),660
tensor(0.0286, grad_fn=<MseLossBackward0>),670
tensor(0.0119, grad_fn=<MseLossBackward0>),680
tensor(0.0500, grad_fn=<MseLossBackward0>),690
tensor(0.0090, grad_fn=<MseLossBackward0>),700
tensor(0.0129, grad_fn=<MseLossBackward0>),710
tensor(0.0043, grad_fn=<MseLossBackward0>),720
tensor(0.0157, grad_fn=<MseLossBackward0>),730
tensor(0.0410, grad_fn=<MseLossBackward0>),740
tensor(0.0298, grad_fn=<MseLossBackward0>),750
tensor(0.0279, grad_fn=<MseLossBackward0>),760
tensor(0.0225, grad_fn=<MseLossBackward0>),770
tensor(0.0234, grad_fn=<MseLossBackward0>),780
tensor(0.0061, grad_fn=<MseLossBackward0>),790
tensor(0.0236, grad_fn=<MseLossBackward0>),800
tensor(0.0300, grad_fn=<MseLossBackward0>),810
tensor(0.0032, grad_fn=<MseLossBackward0>),820
tensor(0.0505, grad_fn=<MseLossBackward0>),830
tensor(0.0047, grad_fn=<MseLossBackward0>),840
tensor(0.0475, grad_fn=<MseLossBackward0>),850
tensor(0.0414, grad_fn=<MseLossBackward0>),860
tensor(0.0136, grad_fn=<MseLossBackward0>),870
