loss,step
tensor(0.2998, grad_fn=<MseLossBackward0>),0
tensor(0.2059, grad_fn=<MseLossBackward0>),10
tensor(0.1931, grad_fn=<MseLossBackward0>),20
tensor(0.1695, grad_fn=<MseLossBackward0>),30
tensor(0.1265, grad_fn=<MseLossBackward0>),40
tensor(0.0988, grad_fn=<MseLossBackward0>),50
tensor(0.1324, grad_fn=<MseLossBackward0>),60
tensor(0.1021, grad_fn=<MseLossBackward0>),70
tensor(0.1324, grad_fn=<MseLossBackward0>),80
tensor(0.0551, grad_fn=<MseLossBackward0>),90
tensor(0.1379, grad_fn=<MseLossBackward0>),100
tensor(0.0970, grad_fn=<MseLossBackward0>),110
tensor(0.0710, grad_fn=<MseLossBackward0>),120
tensor(0.0796, grad_fn=<MseLossBackward0>),130
tensor(0.0514, grad_fn=<MseLossBackward0>),140
tensor(0.0310, grad_fn=<MseLossBackward0>),150
tensor(0.0224, grad_fn=<MseLossBackward0>),160
tensor(0.0402, grad_fn=<MseLossBackward0>),170
tensor(0.0449, grad_fn=<MseLossBackward0>),180
tensor(0.0290, grad_fn=<MseLossBackward0>),190
tensor(0.0609, grad_fn=<MseLossBackward0>),200
tensor(0.0391, grad_fn=<MseLossBackward0>),210
tensor(0.0308, grad_fn=<MseLossBackward0>),220
tensor(0.0321, grad_fn=<MseLossBackward0>),230
tensor(0.0257, grad_fn=<MseLossBackward0>),240
tensor(0.0082, grad_fn=<MseLossBackward0>),250
tensor(0.0368, grad_fn=<MseLossBackward0>),260
tensor(0.0496, grad_fn=<MseLossBackward0>),270
tensor(0.0140, grad_fn=<MseLossBackward0>),280
tensor(0.0360, grad_fn=<MseLossBackward0>),290
tensor(0.0700, grad_fn=<MseLossBackward0>),300
tensor(0.0157, grad_fn=<MseLossBackward0>),310
tensor(0.0623, grad_fn=<MseLossBackward0>),320
tensor(0.0085, grad_fn=<MseLossBackward0>),330
tensor(0.0173, grad_fn=<MseLossBackward0>),340
tensor(0.0318, grad_fn=<MseLossBackward0>),350
tensor(0.0032, grad_fn=<MseLossBackward0>),360
tensor(0.0334, grad_fn=<MseLossBackward0>),370
tensor(0.0140, grad_fn=<MseLossBackward0>),380
tensor(0.0364, grad_fn=<MseLossBackward0>),390
tensor(0.0067, grad_fn=<MseLossBackward0>),400
tensor(0.0061, grad_fn=<MseLossBackward0>),410
tensor(0.0130, grad_fn=<MseLossBackward0>),420
tensor(0.0333, grad_fn=<MseLossBackward0>),430
tensor(0.0181, grad_fn=<MseLossBackward0>),440
tensor(0.0056, grad_fn=<MseLossBackward0>),450
tensor(0.0210, grad_fn=<MseLossBackward0>),460
tensor(0.0110, grad_fn=<MseLossBackward0>),470
tensor(0.0460, grad_fn=<MseLossBackward0>),480
tensor(0.0205, grad_fn=<MseLossBackward0>),490
tensor(0.0167, grad_fn=<MseLossBackward0>),500
tensor(0.0038, grad_fn=<MseLossBackward0>),510
tensor(0.0160, grad_fn=<MseLossBackward0>),520
tensor(0.0427, grad_fn=<MseLossBackward0>),530
tensor(0.0068, grad_fn=<MseLossBackward0>),540
tensor(0.0169, grad_fn=<MseLossBackward0>),550
tensor(0.0542, grad_fn=<MseLossBackward0>),560
tensor(0.0030, grad_fn=<MseLossBackward0>),570
tensor(0.0031, grad_fn=<MseLossBackward0>),580
tensor(0.0713, grad_fn=<MseLossBackward0>),590
tensor(0.0045, grad_fn=<MseLossBackward0>),600
tensor(0.0025, grad_fn=<MseLossBackward0>),610
tensor(0.0159, grad_fn=<MseLossBackward0>),620
tensor(0.0295, grad_fn=<MseLossBackward0>),630
tensor(0.0092, grad_fn=<MseLossBackward0>),640
tensor(0.0077, grad_fn=<MseLossBackward0>),650
tensor(0.0053, grad_fn=<MseLossBackward0>),660
tensor(0.0111, grad_fn=<MseLossBackward0>),670
tensor(0.0195, grad_fn=<MseLossBackward0>),680
tensor(0.0039, grad_fn=<MseLossBackward0>),690
tensor(0.0322, grad_fn=<MseLossBackward0>),700
tensor(0.0336, grad_fn=<MseLossBackward0>),710
tensor(0.0445, grad_fn=<MseLossBackward0>),720
tensor(0.0142, grad_fn=<MseLossBackward0>),730
tensor(0.0211, grad_fn=<MseLossBackward0>),740
tensor(0.0018, grad_fn=<MseLossBackward0>),750
tensor(0.0342, grad_fn=<MseLossBackward0>),760
tensor(0.0283, grad_fn=<MseLossBackward0>),770
tensor(0.0261, grad_fn=<MseLossBackward0>),780
tensor(0.0024, grad_fn=<MseLossBackward0>),790
tensor(0.0390, grad_fn=<MseLossBackward0>),800
tensor(0.0089, grad_fn=<MseLossBackward0>),810
tensor(0.0085, grad_fn=<MseLossBackward0>),820
tensor(0.0014, grad_fn=<MseLossBackward0>),830
tensor(0.0167, grad_fn=<MseLossBackward0>),840
tensor(0.0037, grad_fn=<MseLossBackward0>),850
tensor(0.0101, grad_fn=<MseLossBackward0>),860
tensor(0.0034, grad_fn=<MseLossBackward0>),870
tensor(0.0116, grad_fn=<MseLossBackward0>),880
tensor(0.0007, grad_fn=<MseLossBackward0>),890
tensor(0.0234, grad_fn=<MseLossBackward0>),900
tensor(0.0025, grad_fn=<MseLossBackward0>),910
tensor(0.0237, grad_fn=<MseLossBackward0>),920
tensor(0.0120, grad_fn=<MseLossBackward0>),930
tensor(0.0101, grad_fn=<MseLossBackward0>),940
tensor(0.0178, grad_fn=<MseLossBackward0>),950
tensor(0.0243, grad_fn=<MseLossBackward0>),960
tensor(0.0038, grad_fn=<MseLossBackward0>),970
tensor(0.0023, grad_fn=<MseLossBackward0>),980
tensor(0.0431, grad_fn=<MseLossBackward0>),990
