steps,size,top 500,top 1000,top 5000,top 10000,top 50000
50000,128,47,83,149,180,290
100000,128,69,116,206,242,345
150000,128,97,144,246,284,366
200000,128,111,173,278,317,386
250000,128,121,182,302,332,401
300000,128,131,186,316,349,410
350000,128,142,205,326,363,416
400000,128,144,212,335,369,418
450000,128,154,222,347,378,420
500000,128,156,231,353,382,426
550000,128,158,237,362,384,428
600000,128,158,239,364,386,428
650000,128,165,241,368,389,430
700000,128,163,249,373,391,429
750000,128,162,246,374,392,429
800000,128,164,250,375,397,434
850000,128,166,249,375,398,435
900000,128,168,254,379,400,435
950000,128,169,253,382,401,435
1000000,128,171,250,380,401,438
